Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
1362	-1250.665	-1467.525	216.8605	1.16507	0.992864	0.00713622	2.459791
1368	-1248.396	-1465.571	217.1746	1.127391	0.994034	0.00596606	2.284668
1374	-1254.669	-1471.158	216.4885	0.9915856	0.992153	0.00784688	2.796764
1380	-1255.799	-1472.434	216.6343	0.9088843	0.992643	0.00735657	2.758291
1386	-1269.984	-1487.93	217.9456	1.352377	0.994005	0.00599469	1.612477
1392	-1263.372	-1481.437	218.0647	1.210483	0.993169	0.00683086	1.628919
1398	-1264.289	-1482.579	218.29	1.368572	0.992028	0.00797179	1.339342
1404	-1270.697	-1488.889	218.1919	1.491395	0.992608	0.00739202	1.319539
1410	-1272.736	-1490.576	217.8402	1.344401	0.991478	0.00852158	1.693721
1416	-1277.417	-1495.606	218.1893	1.394512	0.988206	0.0117942	1.398263
1422	-1258.138	-1476.327	218.1893	1.394512	0.999884	0.000115576	1.398263
1428	-1259.085	-1476.703	217.6181	1.390527	0.999893	0.000106698	1.816752
1434	-1252.862	-1469.678	216.8159	1.177045	0.999784	0.000215622	2.480294
1440	-1255.663	-1473.647	217.9838	1.30266	0.999587	0.00041341	1.620817
1446	-1250.878	-1468.582	217.7046	1.30266	0.999421	0.000578829	1.817709
1452	-1248.139	-1465.442	217.3035	1.30266	0.998753	0.00124668	2.087454
1458	-1254.917	-1471.544	216.6265	1.239296	0.998753	0.00124668	2.559558
1464	-1268.127	-1483.574	215.4466	0.9369627	0.997387	0.00261331	3.449946
1470	-1267.727	-1483.717	215.9906	0.8248569	0.997231	0.00276922	3.195726
1476	-1262.529	-1478.28	215.7519	0.8691146	0.990203	0.00979703	3.310628
1482	-1264.877	-1479.945	215.0682	0.911763	0.965995	0.0340046	3.684678
1488	-1269.885	-1486.386	216.5004	1.16147	0.971569	0.0284313	2.685563
1494	-1270.279	-1486.046	215.7669	0.8804763	0.995312	0.00468768	3.295071
1500	-1264.833	-1481.257	216.4243	1.055958	0.996877	0.0031228	2.796632
1506	-1250.837	-1468.124	217.2874	1.181918	0.993783	0.00621703	2.176855
1512	-1251.598	-1468.445	216.8477	1.209437	0.986197	0.0138027	2.43999
1518	-1253.144	-1470.201	217.0568	1.19671	0.999838	0.000161882	2.315648
1524	-1265.132	-1483.142	218.0103	1.357535	0.999761	0.000239236	1.561438
1530	-1266.545	-1484.222	217.6764	1.396038	0.999785	0.000214565	1.772587
1536	-1264.468	-1482.727	218.2594	1.719414	0.999396	0.000603903	1.064368
